created_at,updated_at,name,id,municipality_id
2023-06-12 05:11:57.501159 +00:00,2023-06-12 05:11:57.501171 +00:00,Avenida Carlos Manuel de Céspedes,221908,1032
2023-06-12 05:11:57.553146 +00:00,2023-06-12 05:11:57.553154 +00:00,Avenida de Colón,412713,1032
2023-06-12 05:11:57.604977 +00:00,2023-06-12 05:11:57.604985 +00:00,Avenida de La Loma,225932,1032
2023-06-12 05:11:57.650576 +00:00,2023-06-12 05:11:57.650584 +00:00,Avenida de Los Presidentes,349123,1032
2023-06-12 05:11:57.719040 +00:00,2023-06-12 05:11:57.719081 +00:00,Avenida del Río,285598,1032
2023-06-12 05:11:57.766510 +00:00,2023-06-12 05:11:57.766552 +00:00,Avenida Independencia (Boyeros),2143,1032
2023-06-12 05:11:57.793362 +00:00,2023-06-12 05:11:57.793404 +00:00,Avenida Kholy,285758,1032
2023-06-12 05:11:57.820382 +00:00,2023-06-12 05:11:57.820428 +00:00,Avenida Parque,443987,1032
2023-06-12 05:11:57.845698 +00:00,2023-06-12 05:11:57.845725 +00:00,Avenida Salvador Allende (Carlos Iii),3454,1032
2023-06-12 05:11:57.871193 +00:00,2023-06-12 05:11:57.871202 +00:00,Avenida San Antonio,95486,1032
2023-06-12 05:11:57.908849 +00:00,2023-06-12 05:11:57.908860 +00:00,Avenida Zoológico,95456,1032
2023-06-12 05:11:57.935544 +00:00,2023-06-12 05:11:57.935552 +00:00,Ayuntamiento,352270,1032
2023-06-12 05:11:57.957813 +00:00,2023-06-12 05:11:57.957862 +00:00,B,127009,1032
2023-06-12 05:11:57.984658 +00:00,2023-06-12 05:11:57.984703 +00:00,Baire,158899,1032
2023-06-12 05:11:58.011674 +00:00,2023-06-12 05:11:58.011717 +00:00,Basarrate,285898,1032
2023-06-12 05:11:58.038683 +00:00,2023-06-12 05:11:58.038726 +00:00,Bellavista,478829,1032
2023-06-12 05:11:58.092694 +00:00,2023-06-12 05:11:58.092737 +00:00,Bruzón,63678,1032
2023-06-12 05:11:58.118477 +00:00,2023-06-12 05:11:58.118505 +00:00,C,448569,1032
2023-06-12 05:11:58.143957 +00:00,2023-06-12 05:11:58.143973 +00:00,Callejón Comunicaciones,475593,1032
2023-06-12 05:11:58.200617 +00:00,2023-06-12 05:11:58.200657 +00:00,Calzada de Puentes Grandes,63647,1032
2023-06-12 05:11:58.335665 +00:00,2023-06-12 05:11:58.335704 +00:00,Conill,256255,1032
2023-06-12 05:11:58.444207 +00:00,2023-06-12 05:11:58.444250 +00:00,D,2680,1032
2023-06-12 05:11:58.498255 +00:00,2023-06-12 05:11:58.498297 +00:00,Desagüe,36,1032
2023-06-12 05:11:58.525193 +00:00,2023-06-12 05:11:58.525235 +00:00,Diego Velazquez,288390,1032
2023-06-12 05:11:58.552461 +00:00,2023-06-12 05:11:58.552505 +00:00,Dionisio San Román,99309,1032
2023-06-12 05:11:58.579515 +00:00,2023-06-12 05:11:58.579558 +00:00,E,226489,1032
2023-06-12 05:11:58.702117 +00:00,2023-06-12 05:11:58.702160 +00:00,Empírea,414012,1032
2023-06-12 05:11:58.763279 +00:00,2023-06-12 05:11:58.763322 +00:00,Ermita,416937,1032
2023-06-12 05:11:58.844458 +00:00,2023-06-12 05:11:58.844502 +00:00,F,255178,1032
2023-06-12 05:11:58.871346 +00:00,2023-06-12 05:11:58.871388 +00:00,Factor,350277,1032
2023-06-12 05:11:58.925252 +00:00,2023-06-12 05:11:58.925294 +00:00,H,4666,1032
2023-06-12 05:11:58.952325 +00:00,2023-06-12 05:11:58.952403 +00:00,Hernan Cortés,99307,1032
2023-06-12 05:11:58.979492 +00:00,2023-06-12 05:11:58.979535 +00:00,Hidalgo,476846,1032
2023-06-12 05:21:25.483695 +00:00,2023-06-12 05:21:25.485217 +00:00,1ra A,349211,1032
2023-06-12 05:21:25.664759 +00:00,2023-06-12 05:21:25.666372 +00:00,24 de Febrero,447448,1032
2023-06-12 05:22:32.230163 +00:00,2023-06-12 05:22:32.231664 +00:00,40,448240,1032
2023-06-12 05:22:32.546301 +00:00,2023-06-12 05:22:32.547904 +00:00,Amézaga,131058,1032
2023-06-12 05:22:32.727250 +00:00,2023-06-12 05:22:32.728896 +00:00,Avenida 26 C,162412,1032
2023-06-12 05:22:32.754267 +00:00,2023-06-12 05:22:32.755870 +00:00,Avenida 2da,221994,1032
2023-06-12 05:22:32.943469 +00:00,2023-06-12 05:22:32.945109 +00:00,Avenida 3ra,349191,1032
2023-06-12 05:22:33.105692 +00:00,2023-06-12 05:22:33.107299 +00:00,Avenida 7ma,33699,1032
2023-06-12 05:21:26.937272 +00:00,2023-06-12 05:21:26.938861 +00:00,Avenida 45 A,317906,1032
2023-06-12 05:22:33.484285 +00:00,2023-06-12 05:22:33.485977 +00:00,Avenida Tropical,194241,1032
2023-06-12 05:21:27.153475 +00:00,2023-06-12 05:21:27.155083 +00:00,Avenida del Bosque,33295,1032
2023-06-12 05:21:27.663035 +00:00,2023-06-12 05:21:27.663894 +00:00,Benjumeda,479417,1032
2023-06-12 05:22:34.036900 +00:00,2023-06-12 05:22:34.038590 +00:00,Carlitos Aguirre,222001,1032
2023-06-12 05:22:34.090898 +00:00,2023-06-12 05:22:34.092581 +00:00,Ciclo Vía,476161,1032
2023-06-12 05:22:34.311555 +00:00,2023-06-12 05:22:34.313270 +00:00,de Los Protestante,289489,1032
2023-06-12 05:21:27.979958 +00:00,2023-06-12 05:21:27.981648 +00:00,Conill A,194862,1032
2023-06-12 05:21:28.033931 +00:00,2023-06-12 05:21:28.035532 +00:00,Crecheríe,159407,1032
2023-06-12 05:22:34.626270 +00:00,2023-06-12 05:22:34.627960 +00:00,Este,286952,1032
2023-06-12 05:21:28.448686 +00:00,2023-06-12 05:21:28.449095 +00:00,General Suárez,35686,1032
2023-06-12 05:22:32.122068 +00:00,2023-06-12 05:22:32.123537 +00:00,36 A,192139,1032
2023-06-12 05:22:32.600440 +00:00,2023-06-12 05:22:32.602076 +00:00,Auditor (City  Hall),225328,1032
2023-06-12 05:22:33.982826 +00:00,2023-06-12 05:22:33.984524 +00:00,Calzada del Cerro,285749,1032
2023-06-12 05:22:34.063861 +00:00,2023-06-12 05:22:34.065462 +00:00,Central,381326,1032
2023-06-12 05:22:34.117899 +00:00,2023-06-12 05:22:34.119522 +00:00,City  Hall,382340,1032
2023-06-12 05:22:34.465514 +00:00,2023-06-12 05:22:34.467144 +00:00,Edison N,253737,1032
2023-06-12 05:22:34.491623 +00:00,2023-06-12 05:22:34.493413 +00:00,Edison S,317525,1032
2023-06-12 05:22:34.545277 +00:00,2023-06-12 05:22:34.546924 +00:00,Entrada a Jardines,32153,1032
2023-06-12 05:22:34.599259 +00:00,2023-06-12 05:22:34.600970 +00:00,Estancia,32550,1032
2023-06-12 05:23:28.595333 +00:00,2023-06-12 05:23:28.595341 +00:00,Santa Mar├¡A del Rosario,323332,1035
2023-06-12 05:11:59.060709 +00:00,2023-06-12 05:11:59.060753 +00:00,J,412507,1032
2023-06-12 05:11:59.114687 +00:00,2023-06-12 05:11:59.114730 +00:00,K,130031,1032
2023-06-12 05:11:59.141497 +00:00,2023-06-12 05:11:59.141541 +00:00,L,253873,1032
2023-06-12 05:11:59.192902 +00:00,2023-06-12 05:11:59.192917 +00:00,La Torre,162884,1032
2023-06-12 05:11:59.230664 +00:00,2023-06-12 05:11:59.230681 +00:00,Leopoldo,63557,1032
2023-06-12 05:11:59.287415 +00:00,2023-06-12 05:11:59.287472 +00:00,Línea,381036,1032
2023-06-12 05:11:59.314050 +00:00,2023-06-12 05:11:59.314095 +00:00,Loma,190309,1032
2023-06-12 05:11:59.341014 +00:00,2023-06-12 05:11:59.341055 +00:00,Lombillo,98622,1032
2023-06-12 05:11:59.395189 +00:00,2023-06-12 05:11:59.395231 +00:00,Lugareño,66902,1032
2023-06-12 05:11:59.422096 +00:00,2023-06-12 05:11:59.422139 +00:00,Luz,256837,1032
2023-06-12 05:11:59.449150 +00:00,2023-06-12 05:11:59.449193 +00:00,M,32040,1032
2023-06-12 05:11:59.476257 +00:00,2023-06-12 05:11:59.476300 +00:00,Malecón,475491,1032
2023-06-12 05:11:59.530281 +00:00,2023-06-12 05:11:59.530325 +00:00,Marino,191683,1032
2023-06-12 05:11:59.557216 +00:00,2023-06-12 05:11:59.557259 +00:00,Mazarredo,32113,1032
2023-06-12 05:11:59.584445 +00:00,2023-06-12 05:11:59.584491 +00:00,Mazón,65944,1032
2023-06-12 05:11:59.611481 +00:00,2023-06-12 05:11:59.611523 +00:00,Montero Sánchez,226246,1032
